emoji,unicode_name,group,graha,element,layer,nakshatra,varna,rasa,dosha,vastu_zone,confidence,method,attestation,attestation_status
🤭,face with hand over mouth,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🫢,face with open eyes and hand over mouth,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🫣,face with peeking eye,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤫,shushing face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤔,thinking face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🫡,saluting face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤐,zipper-mouth face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤨,face with raised eyebrow,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😐,neutral face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😑,expressionless face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😶,face without mouth,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🫥,dotted line face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😶‍🌫️,face in clouds,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😏,smirking face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😒,unamused face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🙄,face with rolling eyes,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😬,grimacing face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😮‍💨,face exhaling,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤥,lying face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🫨,shaking face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🙂‍↔️,head shaking horizontally,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🙂‍↕️,head shaking vertically,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😌,relieved face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😔,pensive face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😪,sleepy face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤤,drooling face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😴,sleeping face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🫩,face with bags under eyes,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😷,face with medical mask,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤒,face with thermometer,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤕,face with head-bandage,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤢,nauseated face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤮,face vomiting,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤧,sneezing face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🥵,hot face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🥶,cold face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🥴,woozy face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😵,face with crossed-out eyes,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😵‍💫,face with spiral eyes,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤯,exploding head,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤠,cowboy hat face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🥳,partying face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🥸,disguised face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😎,smiling face with sunglasses,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤓,nerd face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🧐,face with monocle,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😕,confused face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🫤,face with diagonal mouth,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😟,worried face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🙁,slightly frowning face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
☹️,frowning face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😮,face with open mouth,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😯,hushed face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😲,astonished face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😳,flushed face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🥺,pleading face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🥹,face holding back tears,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😦,frowning face with open mouth,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😧,anguished face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😨,fearful face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😰,anxious face with sweat,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😥,sad but relieved face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😢,crying face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😭,loudly crying face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😱,face screaming in fear,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😖,confounded face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😣,persevering face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😞,disappointed face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😓,downcast face with sweat,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😩,weary face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😫,tired face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🥱,yawning face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😤,face with steam from nose,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😡,enraged face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😠,angry face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤬,face with symbols on mouth,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😈,smiling face with horns,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👿,angry face with horns,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💀,skull,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
☠️,skull and crossbones,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💩,pile of poo,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤡,clown face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👹,ogre,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👺,goblin,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👻,ghost,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👽,alien,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👾,alien monster,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤖,robot,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😺,grinning cat,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😸,grinning cat with smiling eyes,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😹,cat with tears of joy,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😻,smiling cat with heart-eyes,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😼,cat with wry smile,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😽,kissing cat,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🙀,weary cat,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😿,crying cat,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😾,pouting cat,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🙈,see-no-evil monkey,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🙉,hear-no-evil monkey,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🙊,speak-no-evil monkey,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💌,love letter,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💘,heart with arrow,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💝,heart with ribbon,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💖,sparkling heart,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💗,growing heart,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💓,beating heart,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💞,revolving hearts,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💕,two hearts,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💟,heart decoration,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
❣️,heart exclamation,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💔,broken heart,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
❤️‍🔥,heart on fire,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
❤️‍🩹,mending heart,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
❤️,red heart,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🩷,pink heart,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🧡,orange heart,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💛,yellow heart,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💚,green heart,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💙,blue heart,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🩵,light blue heart,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💜,purple heart,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤎,brown heart,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🖤,black heart,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🩶,grey heart,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤍,white heart,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💋,kiss mark,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💯,hundred points,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💢,anger symbol,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💥,collision,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💫,dizzy,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💦,sweat droplets,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💨,dashing away,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕳️,hole,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💬,speech balloon,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👁️‍🗨️,eye in speech bubble,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🗨️,left speech bubble,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🗯️,right anger bubble,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💭,thought balloon,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💤,ZZZ,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👋,waving hand,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🤚,raised back of hand,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🖐️,hand with fingers splayed,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
✋,raised hand,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🖖,vulcan salute,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🫱,rightwards hand,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🫲,leftwards hand,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🫳,palm down hand,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🫴,palm up hand,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🫷,leftwards pushing hand,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🫸,rightwards pushing hand,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
👌,OK hand,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🤌,pinched fingers,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🤏,pinching hand,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
✌️,victory hand,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🤞,crossed fingers,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🫰,hand with index finger and thumb crossed,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🤟,love-you gesture,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤘,sign of the horns,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤙,call me hand,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
👈,backhand index pointing left,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
👉,backhand index pointing right,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
👆,backhand index pointing up,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🖕,middle finger,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
👇,backhand index pointing down,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
☝️,index pointing up,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🫵,index pointing at the viewer,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👍,thumbs up,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👎,thumbs down,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
✊,raised fist,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
👊,oncoming fist,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🤛,left-facing fist,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🤜,right-facing fist,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
👏,clapping hands,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🙌,raising hands,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🫶,heart hands,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
👐,open hands,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🤲,palms up together,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🤝,handshake,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
🙏,folded hands,People & Body,shani,ether,S6,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
✍️,writing hand,People & Body,budha,ether,S5,,universal,,,,0.5,body_mercury,SYNTHESIS,inferred_coherent
💅,nail polish,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤳,selfie,People & Body,chandra,ether,S1,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
💪,flexed biceps,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦾,mechanical arm,People & Body,mangala,ether,S4,,shudra,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🦿,mechanical leg,People & Body,mangala,ether,S4,,shudra,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🦵,leg,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦶,foot,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👂,ear,People & Body,surya,ether,S5,,universal,,,,0.5,sense_sun,SYNTHESIS,inferred_coherent
🦻,ear with hearing aid,People & Body,surya,ether,S5,,universal,,,,0.5,sense_sun,SYNTHESIS,inferred_coherent
👃,nose,People & Body,surya,ether,S5,,universal,,,,0.5,sense_sun,SYNTHESIS,inferred_coherent
🧠,brain,People & Body,chandra,ether,S5,,universal,,,,0.5,organ_moon,SYNTHESIS,inferred_coherent
🫀,anatomical heart,People & Body,surya,ether,S5,,universal,,,,0.5,sense_sun,SYNTHESIS,inferred_coherent
🫁,lungs,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦷,tooth,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦴,bone,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👀,eyes,People & Body,surya,ether,S5,,universal,,,,0.5,sense_sun,SYNTHESIS,inferred_coherent
👁️,eye,People & Body,surya,ether,S5,,universal,,,,0.5,sense_sun,SYNTHESIS,inferred_coherent
👅,tongue,People & Body,surya,ether,S5,,universal,,,,0.5,sense_sun,SYNTHESIS,inferred_coherent
👄,mouth,People & Body,surya,ether,S5,,universal,,,,0.5,sense_sun,SYNTHESIS,inferred_coherent
🫦,biting lip,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👶,baby,People & Body,chandra,ether,S5,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
🧒,child,People & Body,chandra,ether,S5,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
👦,boy,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
👧,girl,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🧑,person,People & Body,surya,ether,S6,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
👱,person blond hair,People & Body,surya,ether,S6,,universal,,,,0.7,profession_map,SYNTHESIS,inferred_coherent
👨,man,People & Body,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
