id,name_iast,tradition,beat_count,anga_structure,element,guna,deity,time_of_day,rasa,tempo_range,nadai_default,color_hex,attestation_status
tala_ata_misra,Āṭa,carnatic,18,7+7+2+2,ether,sattva,Shukra,midday,adbhuta,medium,7,#DA70D6,attested_secondary
tala_ata_sankirna,Āṭa,carnatic,22,9+9+2+2,ether,sattva,Shukra,midday,adbhuta,medium,9,#DA70D6,attested_secondary
tala_eka_tisra,Eka,carnatic,3,3,fire,rajas,Brahma,dawn,hasya,all,3,#FF6347,attested_secondary
tala_eka_catusra,Eka,carnatic,4,4,fire,rajas,Brahma,dawn,hasya,all,4,#FF6347,attested_secondary
tala_eka_khanda,Eka,carnatic,5,5,fire,rajas,Brahma,dawn,hasya,all,5,#FF6347,attested_secondary
tala_eka_misra,Eka,carnatic,7,7,fire,rajas,Brahma,dawn,hasya,all,7,#FF6347,attested_secondary
tala_eka_sankirna,Eka,carnatic,9,9,fire,rajas,Brahma,dawn,hasya,all,9,#FF6347,attested_secondary
tala_adi,Ādi,carnatic,8,4+2+2,earth,sattva,Shiva,all,vira,all,4,#6A5ACD,attested_secondary
tala_rupaka,Rūpaka,carnatic,3,2+1,fire,rajas,Mangala,morning,raudra,medium,3,#FF4500,attested_secondary
tala_khanda_chapu,Khaṇḍa Cāpu,carnatic,5,2+3,earth,rajas,Skanda,midday,vira,fast,5,#A52A2A,attested_secondary
tala_misra_chapu,Miśra Cāpu,carnatic,7,3+2+2,air,rajas,Saraswati,evening,adbhuta,medium,7,#708090,attested_secondary
tala_sankirna_chapu,Saṅkīrṇa Cāpu,carnatic,9,2+2+2+3,ether,sattva,Ganesha,night,shanta,medium,9,#800080,attested_secondary
tala_teentaal,Tīntāl,hindustani,16,4+4+4+4,ether,sattva,Nataraja,all,vira,all,4,#1E90FF,attested_secondary
tala_ektaal,Ektāl,hindustani,12,2+2+2+2+2+2,water,sattva,Vishnu,evening,shanta,slow,3,#20B2AA,attested_secondary
tala_jhaptaal,Jhaptāl,hindustani,10,2+3+2+3,earth,rajas,Hanuman,afternoon,raudra,medium,2,#CD5C5C,attested_secondary
tala_rupak,Rūpak,hindustani,7,3+2+2,fire,rajas,Mangala,evening,shringara,medium,3,#FFA500,attested_secondary
tala_dadra,Dādrā,hindustani,6,3+3,water,sattva,Krishna,night,shringara,medium,3,#F08080,attested_secondary
tala_keherwa,Keharwa,hindustani,8,4+4,earth,rajas,Rama,evening,hasya,medium,4,#32CD32,attested_secondary
tala_deepchandi,Dīpchandī,hindustani,14,3+4+3+4,air,rajas,Durga,evening,adbhuta,slow,4,#8A2BE2,attested_secondary
tala_dhamar,Dhamār,hindustani,14,5+2+3+4,earth,tamas,Krishna,night,vira,slow,5,#DC143C,attested_secondary
tala_tilwada,Tilwāḍā,hindustani,16,4+4+4+4,ether,sattva,Shiva,night,karuna,slow,4,#4682B4,attested_secondary
tala_jhoomra,Jhoomrā,hindustani,14,3+4+3+4,air,rajas,Krishna,night,madhura,slow,4,#4B0082,attested_secondary
