Hour	01/1996	02/1996	03/1996	04/1996	05/1996	06/1996	07/1996	08/1996	09/1996	10/1996	11/1996	12/1996	01/1997	02/1997	03/1997	04/1997	05/1997	06/1997	07/1997	08/1997	09/1997	10/1997	11/1997	12/1997	01/1998	02/1998	03/1998	04/1998	05/1998	06/1998	07/1998	08/1998	09/1998	10/1998	11/1998	12/1998	01/1999	02/1999	03/1999	04/1999	05/1999	06/1999	07/1999	08/1999	09/1999	10/1999	11/1999	12/1999	
10	5.760	4.285	4.162	7.129	6.708	6.350	8.526	7.695	6.726	6.708	5.429	4.796	4.796	13.616	7.508	22.090	10.049	6.760	10.890	3.686	3.133	4.203	5.429	5.290	3.168	3.497	4.368	5.244	6.760	6.502	5.429	4.537	4.796	4.121	5.760	4.494	4.666	4.121	9.242	5.522	7.076	7.022	6.656	8.702	5.808	3.386	4.244	2.756	
11	5.382	4.709	4.452	7.398	9.181	7.129	10.304	9.299	7.382	6.708	8.352	5.018	5.018	12.390	9.120	27.458	11.765	7.618	10.824	4.666	3.422	4.537	5.570	5.476	3.240	3.648	4.840	6.200	9.303	8.940	6.250	4.884	4.884	5.062	5.476	5.062	4.368	4.080	9.181	7.290	7.896	12.960	7.129	9.181	5.617	3.422	4.162	2.789	
12	5.808	4.410	4.840	7.129	9.734	6.052	13.396	12.090	7.854	6.101	7.508	5.336	5.336	14.516	9.860	24.206	11.972	8.526	11.290	5.062	3.881	5.062	5.062	5.664	3.276	3.686	5.018	6.605	8.644	8.821	8.702	5.617	4.973	5.760	6.452	5.108	4.537	4.203	8.821	8.644	7.182	15.840	6.970	7.508	5.476	3.610	4.494	2.993	
13	5.429	4.622	5.429	8.526	11.972	7.236	12.110	10.930	8.955	6.052	6.605	5.290	5.290	11.424	10.628	22.090	12.602	9.060	11.223	6.101	4.162	5.522	5.382	5.429	3.386	3.686	6.350	7.840	8.294	9.364	7.562	6.250	5.570	6.052	6.970	6.812	4.709	5.108	9.672	8.762	8.940	12.532	7.344	9.000	5.808	4.121	4.796	3.386	
14	5.664	4.928	6.003	9.486	12.888	7.129	12.602	11.374	9.303	5.905	6.200	5.018	5.018	8.468	11.022	21.623	13.542	10.433	10.433	7.784	5.108	5.244	5.198	5.522	3.460	3.497	6.003	7.673	7.562	11.696	8.762	5.954	6.052	6.003	6.864	5.760	4.884	5.570	9.797	9.181	10.824	19.892	7.398	7.453	6.401	4.285	4.884	3.648	
15	5.244	5.244	6.200	9.672	13.032	7.508	11.560	10.433	9.734	5.522	5.108	5.062	5.062	6.300	11.156	19.536	9.923	11.223	8.762	5.808	6.150	5.108	4.752	3.764	3.133	3.497	5.382	7.896	8.880	10.240	7.344	5.760	5.808	6.350	6.917	5.712	4.410	5.244	8.526	11.089	8.294	21.160	6.300	6.200	7.182	4.580	4.884	2.924	
16	4.162	4.580	5.954	8.009	10.956	7.453	9.425	8.506	8.526	4.040	4.203	3.881	3.881	4.752	9.242	12.461	7.453	8.294	7.182	5.018	5.108	3.960	3.460	3.349	2.402	2.723	4.622	6.708	6.502	11.834	7.618	5.108	5.712	4.884	5.760	4.537	3.960	4.494	8.410	8.294	7.182	9.610	6.052	5.336	6.760	3.960	3.572	2.280	
17	3.803	3.764	4.580	7.398	10.112	8.526	8.410	7.590	6.434	4.666	4.040	3.764	3.764	4.162	7.236	8.237	5.905	7.952	5.382	4.622	3.920	3.168	3.686	3.725	2.280	2.074	3.497	4.884	5.954	7.673	7.344	5.062	3.881	3.881	5.617	4.580	3.610	3.686	5.905	5.808	5.760	8.410	6.003	4.494	6.150	3.240	3.386	2.103	
18	3.803	3.842	3.842	5.856	9.364	10.433	6.970	6.290	6.386	4.410	4.666	3.686	3.686	4.162	6.502	7.290	4.622	5.808	6.864	3.063	3.460	3.063	3.803	3.534	2.402	2.190	2.723	3.534	4.285	7.562	5.856	5.153	3.386	3.842	6.554	4.000	3.572	3.534	5.570	5.522	7.290	10.758	5.617	4.162	5.429	3.276	4.121	2.074	
19	3.960	3.842	3.803	4.666	7.290	6.250	6.812	6.148	5.869	4.709	4.537	3.572	3.572	4.285	4.796	8.009	3.133	6.150	8.066	2.434	3.610	3.312	4.040	3.764	2.434	2.310	2.690	2.822	3.422	6.200	4.452	5.018	3.349	3.610	5.617	4.494	3.312	3.460	4.537	5.905	11.424	12.320	4.580	3.276	4.494	2.958	5.429	2.045	
20	3.725	4.368	3.725	4.796	5.712	6.101	6.812	5.155	5.961	5.108	4.326	3.460	3.460	3.881	4.752	5.429	2.822	4.326	6.150	3.063	3.063	3.133	3.686	3.572	2.465	2.250	2.496	2.690	3.063	4.796	3.960	4.973	3.842	4.121	4.040	4.121	3.312	3.572	4.162	4.326	9.181	7.076	4.452	3.028	3.842	3.240	5.153	2.045	
21	3.686	3.460	3.497	5.476	5.290	4.452	7.784	5.617	5.731	4.285	3.842	3.386	3.386	3.572	4.752	4.410	3.063	3.648	5.808	2.924	2.690	2.924	3.386	3.098	2.190	2.045	2.528	2.856	3.168	4.928	3.572	4.452	3.960	4.494	3.842	4.121	3.422	3.610	4.285	3.920	4.121	9.425	4.452	3.168	4.000	4.040	5.476	1.904	
22	3.572	3.240	3.312	5.429	5.244	5.198	6.250	4.172	6.825	3.534	3.497	3.312	3.312	3.063	3.960	4.368	3.063	4.928	4.326	2.496	2.657	2.856	3.204	2.690	2.074	1.796	2.372	2.624	3.168	3.803	3.534	4.326	3.764	3.133	3.920	4.884	3.276	3.534	3.725	4.494	9.303	8.585	4.080	3.497	3.803	2.890	3.725	1.932	
23	4.326	3.133	3.204	5.244	4.537	4.244	5.617	4.056	6.531	3.422	2.993	3.168	3.168	2.723	4.326	3.725	2.756	3.842	4.580	2.190	2.465	2.924	3.168	2.465	2.016	1.822	2.310	2.657	3.725	4.040	3.725	3.534	2.890	2.993	3.276	5.108	3.063	3.168	3.725	3.686	6.970	4.000	3.534	2.958	3.204	2.465	2.924	1.638	
