herb_id,name_common,attestation_status,rasa,virya,vipaka,guna,dosha_balance,part_used,botanical_name,source_text
H052,Chandana,CURATED_SPINE_FROM_REPORT,,,,,,,,
H053,Rakta Chandana,CURATED_SPINE_FROM_REPORT,,,,,,,,
H054,Sariva,CURATED_SPINE_FROM_REPORT,,,,,,,,
H055,Ushira,CURATED_SPINE_FROM_REPORT,,,,,,,,
H056,Manjistha,CURATED_SPINE_FROM_REPORT,,,,,,,,
H057,Bhringraj,CURATED_SPINE_FROM_REPORT,,,,,,,,
H058,Nirgundi,CURATED_SPINE_FROM_REPORT,,,,,,,,
H059,Kanchanar,CURATED_SPINE_FROM_REPORT,,,,,,,,
H060,Kutaj,CURATED_SPINE_FROM_REPORT,,,,,,,,
H061,Vasa,CURATED_SPINE_FROM_REPORT,,,,,,,,
H062,Kantakari,CURATED_SPINE_FROM_REPORT,,,,,,,,
H063,Bharangi,CURATED_SPINE_FROM_REPORT,,,,,,,,
H064,Pushkarmool,CURATED_SPINE_FROM_REPORT,,,,,,,,
H065,Arjuna,CURATED_SPINE_FROM_REPORT,,,,,,,,
H066,Guggulu,CURATED_SPINE_FROM_REPORT,,,,,,,,
H067,Shallaki,CURATED_SPINE_FROM_REPORT,,,,,,,,
H068,Shilajit,CURATED_SPINE_FROM_REPORT,,,,,,,,
H069,Devadaru,CURATED_SPINE_FROM_REPORT,,,,,,,,
H070,Ashoka,CURATED_SPINE_FROM_REPORT,,,,,,,,
H071,Lodhra,CURATED_SPINE_FROM_REPORT,,,,,,,,
H072,Bakuchi,CURATED_SPINE_FROM_REPORT,,,,,,,,
H073,Bhallataka,CURATED_SPINE_FROM_REPORT,,,,,,,,
H074,Apamarga,CURATED_SPINE_FROM_REPORT,,,,,,,,
H075,Arka,CURATED_SPINE_FROM_REPORT,,,,,,,,
H076,Udumbara,CURATED_SPINE_FROM_REPORT,,,,,,,,
H077,Palasha,CURATED_SPINE_FROM_REPORT,,,,,,,,
H078,Khadira,CURATED_SPINE_FROM_REPORT,,,,,,,,
H079,Durva,CURATED_SPINE_FROM_REPORT,,,,,,,,
H080,Darbha,CURATED_SPINE_FROM_REPORT,,,,,,,,
H081,Ashwattha,CURATED_SPINE_FROM_REPORT,,,,,,,,
H082,Shami,CURATED_SPINE_FROM_REPORT,,,,,,,,
H083,Karpura (Camphor),CURATED_SPINE_FROM_REPORT,,,,,,,,
H084,Ela,CURATED_SPINE_FROM_REPORT,,,,,,,,
H085,Twak (Cinnamon),CURATED_SPINE_FROM_REPORT,,,,,,,,
H086,Tamalpatra,CURATED_SPINE_FROM_REPORT,,,,,,,,
H087,Lavanga,CURATED_SPINE_FROM_REPORT,,,,,,,,
H088,Jatiphala,CURATED_SPINE_FROM_REPORT,,,,,,,,
H089,Javitri,CURATED_SPINE_FROM_REPORT,,,,,,,,
H090,Kumkuma,CURATED_SPINE_FROM_REPORT,,,,,,,,
H091,Nagakesara,CURATED_SPINE_FROM_REPORT,,,,,,,,
H092,Kankola,CURATED_SPINE_FROM_REPORT,,,,,,,,
H093,Ishabgula,CURATED_SPINE_FROM_REPORT,,,,,,,,
H094,Dronapushpi,CURATED_SPINE_FROM_REPORT,,,,,,,,
H095,Dhataki,CURATED_SPINE_FROM_REPORT,,,,,,,,
H096,Draksha,CURATED_SPINE_FROM_REPORT,,,,,,,,
H097,Dadima,CURATED_SPINE_FROM_REPORT,,,,,,,,
H098,Shigru,CURATED_SPINE_FROM_REPORT,,,,,,,,
H099,Bilva,CURATED_SPINE_FROM_REPORT,,,,,,,,
H100,Agnimantha,CURATED_SPINE_FROM_REPORT,,,,,,,,
H101,Shyonaka,CURATED_SPINE_FROM_REPORT,,,,,,,,
H102,Patala,CURATED_SPINE_FROM_REPORT,,,,,,,,
H103,Gambhari,CURATED_SPINE_FROM_REPORT,,,,,,,,
H104,Brihati,CURATED_SPINE_FROM_REPORT,,,,,,,,
H105,Shalparni,CURATED_SPINE_FROM_REPORT,,,,,,,,
H106,Prishniparni,CURATED_SPINE_FROM_REPORT,,,,,,,,
H107,Jyotishmati,CURATED_SPINE_FROM_REPORT,,,,,,,,
H108,Kumuda,CURATED_SPINE_FROM_REPORT,,,,,,,,
