deity_id,nakshatra,deity,item_1,item_2,item_3,item_4,vahana,mudra,color_body,color_garment,direction,gemstone,metal,time_of_day,day,mantra_bija,shakti_name,tattva,rasa
deity_indra,Jyeshtha,Indra,thunderbolt_vajra,bow_dhanush,conch_shankha,banner,elephant,abhaya_mudra,yellow,green,east,yellow_sapphire,gold,noon,Thursday,lam,Shachi,air,vira
deity_nirriti,Mula,Nirriti,sword,noose_pasha,trident_trishula,skull_cup,crow,abhaya_mudra,black,dark_red,southwest,black_onyx,iron,night,Saturday,rm,Alakshmi,earth,bhayanaka
deity_apas_waters,Purva Ashadha,Apas/Waters,water_pot,lotus,conch_shankha,fish,makara,varada_mudra,blue,white,west,pearl,silver,afternoon,Monday,vam,Varuni,jala,shanta
deity_vishvedevas,Uttara Ashadha,Vishvedevas,lotus,banner,conch_shankha,staff,horse,abhaya_mudra,golden,rainbow,north,crystal,gold,morning,Sunday,om,Samanya_Devi,akasha,shanta
deity_vishnu_hari,Shravana,Vishnu/Hari,conch_shankha,discus_chakra,mace_gada,lotus,garuda,abhaya_mudra,dark_blue,yellow,east,blue_sapphire,gold,evening,Thursday,hrim,Lakshmi,jala,shanta
deity_vasus_eight,Dhanishta,Vasus/Eight,drum_damaru,mace_gada,lamp,treasure_pot,goat,varada_mudra,multicolored,red,east,garnet,iron,evening,Tuesday,vam,Pratyusha,earth,vira
deity_varuna,Shatabhisha,Varuna,noose_pasha,lotus,conch_shankha,mace_gada,makara,varada_mudra,blue_black,deep_blue,west,blue_sapphire,silver,night,Monday,vam,Varuni,jala,shanta
deity_aja_ekapada,Purva Bhadrapada,Aja Ekapada,staff_danda,fire_pot,noose_pasha,spear,goat,abhaya_mudra,dark,red,south,agate,copper,midnight,Tuesday,am,Shobhini,agni,adbhuta
deity_ahirbudhnya,Uttara Bhadrapada,Ahirbudhnya,sword,lotus,noose_pasha,shield,serpent,varada_mudra,dark_blue,white,north,aquamarine,lead,night,Wednesday,sam,Mahalakshmi,jala,shanta
deity_pushan,Revati,Pushan,shepherds_staff,spoon,grain_bag,harp,goat,abhaya_mudra,golden,yellow,southeast,peridot,bronze,morning,Sunday,pom,Revati,earth,shanta
