latin_name,common_name,family,habit,mature_height_m,canopy_spread_m,hardiness_zone_min,hardiness_zone_max,layer,succession_role,root_architecture,water_relationship,nitrogen_fixer,guild_function_primary,allelopathic,fodder_cattle,fodder_sheep,fodder_goat,fodder_pig,fodder_chicken,fodder_duck,edibility_rating,medicinal_rating,other_uses_rating,soil,shade,moisture,range,found_in,known_hazards,summary,attestation,source
Acer circinatum,Vine Maple,Aceraceae,Tree,12.0,,6,9,canopy,mid_successional,fibrous_shallow,mesic,no,canopy,no,no,no,no,no,no,no,2,1,2,LMH,SN,M,Western N. America - British Columbia to California.,,None known,"Bloom Color: Purple.
Main Bloom Time: Early spring, Late spring, Mid spring. Form: Rounded, Spreading or Horizontal, Upright or erect.",OBSERVED:PFAF,pfaf.org database
Acer glabrum,"Rock Maple, Rocky Mountain maple, Douglas maple, Greene's maple,  New Mexico maple, Torrey maple",Aceraceae,Tree,9.0,,3,8,canopy,mid_successional,fibrous_shallow,mesic,no,canopy,no,no,no,no,no,no,no,2,1,2,LMH,SN,M,"Western N. America - Alaska to California, west to New Mexico.",,None known,"Bloom Color: Green, Yellow.
Main Bloom Time: Early spring, Late spring, Mid spring.Form: Rounded.",OBSERVED:PFAF,pfaf.org database
Acer interius,Box Elder,Aceraceae,Tree,20.0,,,,canopy,mid_successional,fibrous_shallow,mesic,no,canopy,no,no,no,no,no,no,no,2,0,1,LMH,SN,M,"Northern N. America - Kansas, Nebraska and the Rocky Mountains.",,None known,,OBSERVED:PFAF,pfaf.org database
Acer macrophyllum,"Oregon Maple, Bigleaf maple, Oregon Maple",Aceraceae,Tree,30.0,,5,9,canopy,mid_successional,fibrous_shallow,mesic,no,canopy,no,no,no,no,no,no,no,3,1,3,LMH,SN,M,Western N. America - southern Alaska to California.,,None known,"Bloom Color: Yellow.
Main Bloom Time: Early spring, Late spring, Mid spring.Form: Rounded.",OBSERVED:PFAF,pfaf.org database
Acer negundo,Box Elder,Aceraceae,Tree,21.0,,3,8,canopy,mid_successional,fibrous_shallow,mesic,no,windbreak,no,no,no,no,no,no,no,3,1,3,LMH,SN,M,"N. America - Nova Scotia to Florida, west to California and Manitoba.",,None known,"The boxelder is an undesirable tree for many urban situations and in some cities, planting it may be illegal. The undesirable characteristics are brittle, weak wood, short life, susceptibility to boxelder bug, and trunk decay. But the tree will grow just about anywhere and therefore it may have uses",OBSERVED:PFAF,pfaf.org database
Acer pensylvanicum,"Moosewood, Striped maple, Moosewood, Pennsylvania Maple",Aceraceae,Tree,4.5,,3,7,understory,mid_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,0,1,2,LMH,N,M,"Eastern N. America - Nova Scotia to Georgia, west to Michigan.",,None known,"Bloom Color: Green.
Main Bloom Time: Early spring, Late spring, Mid spring. Form: Oval, Rounded, Upright or erect.",OBSERVED:PFAF,pfaf.org database
Acer rubrum,"Red Maple, Drummond's maple, Swamp Maple",Aceraceae,Tree,30.0,,4,10,canopy,mid_successional,fibrous_shallow,wetland,no,canopy,no,no,no,no,no,no,no,3,1,3,LMH,SN,M,"Eastern N. America - Quebec to Florida, west to Texas, Minnesota and Ontario.",,None known,"Bloom Color: Red.
Main Bloom Time: Early spring, Early winter, Late spring, Late winter, Mid spring, Mid winter. Form: Oval, Rounded, Upright or erect.",OBSERVED:PFAF,pfaf.org database
Acer saccharinum,"Silver Maple, River Maple, Soft Maple",Aceraceae,Tree,30.0,,3,9,canopy,mid_successional,fibrous_shallow,wetland,no,dynamic_accumulator,no,yes,yes,yes,yes,yes,yes,3,1,4,LMH,SN,M,"Eastern N. America - New Brunswick to Florida, west to Oklahoma, Kansas and Nebraska.",,None known,"Sometimes misspelt as Acer saccharinium. Bloom Color: Red.
Main Bloom Time: Early spring, Late spring, Mid spring. Form: Vase.",OBSERVED:PFAF,pfaf.org database
Acer saccharum,"Sugar Maple, Florida Maple, Hard Maple, Rock Maple",Aceraceae,Tree,30.0,,4,8,canopy,mid_successional,fibrous_shallow,mesic,no,dynamic_accumulator,no,no,no,no,no,no,no,4,2,4,LMH,SN,M,"Eastern N. America - Newfoundland to Georgia, west to Texas and Minnesota.",,None known,"Bloom Color: Green.
Main Bloom Time: Early spring, Late spring, Mid spring. Form: Oval, Rounded.",OBSERVED:PFAF,pfaf.org database
Acer saccharum grandidentatum,"Big-Tooth Maple, Canyon Maple, Rocky Mountain Sugar Maple",Aceraceae,Tree,12.0,,5,8,canopy,mid_successional,fibrous_shallow,mesic,no,canopy,no,no,no,no,no,no,no,4,0,0,LMH,SN,M,Western N. America - Rocky Mountains.,,None known,"Bloom Color: Yellow.
Main Bloom Time: Early spring, Late spring, Mid spring. Form: Rounded.",OBSERVED:PFAF,pfaf.org database
Acer saccharum nigrum,Black Maple,Aceraceae,Tree,25.0,,4,6,canopy,mid_successional,fibrous_shallow,mesic,no,dynamic_accumulator,no,no,no,no,no,no,no,4,1,2,LMH,SN,M,"Eastern N. America - Quebec to Alabama, west to South Dakota and Arkansas.",,None known,"Bloom Color: Green.
Main Bloom Time: Early spring, Late spring, Mid spring. Form: Oval, Rounded.",OBSERVED:PFAF,pfaf.org database
Acer spicatum,Mountain Maple,Aceraceae,Tree,10.0,,3,6,canopy,mid_successional,fibrous_shallow,mesic,no,canopy,no,no,no,no,no,no,no,2,2,0,LMH,N,M,"North-eastern N. America - Saskatchewan to Labrador, south to Wisconsin and Georgia.",,None known,"Bloom Color: White, Yellow.
Main Bloom Time: Early spring, Late spring, Mid spring. Form: Rounded.",OBSERVED:PFAF,pfaf.org database
Achillea sibirica,Siberian Yarrow,Asteraceae or Compositae,Perennial,0.5,,5,9,groundcover,mid_successional,fibrous_shallow,drought_tolerant,no,support,no,no,no,no,no,no,no,1,1,0,LMH,N,DM,"E. Asia - China, Japan. North-western N. America.",,None known,,OBSERVED:PFAF,pfaf.org database
Achlys triphylla,"Vanilla leaf, Sweet after death",Berberidaceae,Perennial,0.4,,,,groundcover,mid_successional,fibrous_shallow,mesic,no,pest_confuser,no,no,no,no,no,no,no,0,1,0,LMH,S,M,Western N. America - British Columbia to California.,,None known,,OBSERVED:PFAF,pfaf.org database
Achnatherum hymenoides,"Indian Millet, Indian ricegrass",Poaceae or Gramineae,Perennial,0.6,,7,10,groundcover,pioneer,fibrous_shallow,moisture_loving,yes,nitrogen_fixer,no,yes,yes,yes,yes,yes,yes,3,0,3,LMH,N,M,"Western N. America - British Columbia to Manitoba, south to Texas, California and Mexico.","North America, USA. Native to western North America east of the Cascades from British Columbia and Alberta south to southern California, northeastern Mexico, and Texas.",None known,Achnatherum hymenoides (Roem. & Schult.) Barkworth is a synonym of Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper,OBSERVED:PFAF,pfaf.org database
Aconitum carmichaelii,"Japanese Aconite, Carmichael's monkshood",Ranunculaceae,Perennial,1.5,,3,7,groundcover,early_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,0,2,0,LMH,SN,M,E. Asia - C. and W. China to N. America.,,"The whole plant is highly toxic - simple skin contact has caused numbness in some people[1, 238].",,OBSERVED:PFAF,pfaf.org database
Aconitum columbianum,Columbian monkshood,Ranunculaceae,Perennial,0.2,,,,groundcover,mid_successional,bulb,wetland,no,support,no,no,no,no,no,no,no,0,1,0,LMH,SN,M,North-western N. America - Alaska to California.,,The whole plant is highly toxic - simple skin contact has caused numbness in some people. The roots and seeds are the most toxic and also the leaves just before the plant flowers[212]. Available information suggests that Aconitum columbianum is probably not one of the extremely toxic aconites[270].,,OBSERVED:PFAF,pfaf.org database
Aconitum delphinifolium,,Ranunculaceae,Perennial,0.2,,,,groundcover,mid_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,0,1,0,LMH,FS,M,North-western N. America - British Columbia to Alaska and west to northern Asia.,,The whole plant is highly toxic - simple skin contact has caused numbness in some people[1].,,OBSERVED:PFAF,pfaf.org database
Aconitum maximum,Kamchatka aconite,Ranunculaceae,Perennial,0.2,,,,groundcover,mid_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,0,0,0,LMH,SN,M,"North-western N. America - Alaska, through northern Asia to Japan.",,The whole plant is highly toxic - simple skin contact has caused numbness in some people[1].,,OBSERVED:PFAF,pfaf.org database
Aconitum uncinatum,"Wild Monkshood, Southern blue monkshood",Ranunculaceae,Perennial,1.0,,5,9,groundcover,mid_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,0,1,0,LMH,SN,M,Eastern N. America - Pennsylvania to Indiana and south to Alabama and Georgia.,,The whole plant is highly toxic - simple skin contact has caused numbness in some people[1].,,OBSERVED:PFAF,pfaf.org database
Acorus calamus,Sweet Flag - Calamus,Araceae,Perennial,1.0,,4,11,groundcover,mid_successional,fibrous_shallow,wetland,no,pest_confuser,yes,no,no,no,no,no,no,3,4,0,LMH,N,WeWa,"Europe, Asia and N. America. Naturalized in Britain[17].","Native to: Alaska, Alberta, Altay, Amur, Assam, Bangladesh, Borneo, British Columbia, Buryatiya, Cambodia, China North-Central, China South-Central, China Southeast, Chita, Connecticut, East Himalaya,","The fresh root can be poisonous[7]. When using the plant medicinally, the isolated essential oil should not be used[165]. The essential oil in the roots of some populations of this plant contains the compound asarone. This has tranquillising and antibiotic activity, but is also potentially toxic and","Bloom Color: Green.
Main Bloom Time: Mid summer. Form: Spreading or horizontal, Upright or erect.",OBSERVED:PFAF,pfaf.org database
Acorus gramineus,"Grass-leaved Sweet Rush, Japanese Sweet Flag, Dwarf Sweet Flag",Araceae,Perennial,0.3,,6,10,groundcover,mid_successional,fibrous_shallow,wetland,no,pest_confuser,no,no,no,no,no,no,no,3,3,0,LMH,N,MWeWa,"E. Asia - China, Japan, India.","Asia, Australia, Cambodia, Canada, China, India, Indochina, Japan, Korea, Laos, Malaysia, Myanmar, North America, Northeastern India, Philippines, Russia, SE Asia, Siberia, Taiwan, Thailand, Tibet, Vi","Although no records of toxicity have been seen, this species belongs to a family where most of the species are poisonous, at least in the fresh state. The following notes are from the related A. calamus - the fresh root can be poisonous[7]. When using the plant medicinally, the isolated essential oi","Bloom Color: Green.
Main Bloom Time: Early summer, Late summer, Mid summer. Form: Rounded.",OBSERVED:PFAF,pfaf.org database
Acourtia microcephala,Sacapellote,Asteraceae or Compositae,Perennial,1.4,,7,10,groundcover,mid_successional,fibrous_shallow,drought_tolerant,no,support,no,no,no,no,no,no,no,0,1,0,LM,N,DM,South-western N. America - California.,,None known,,OBSERVED:PFAF,pfaf.org database
Acrocomia aculeata,"Coyoli Palm. Gru-Gru Palm, Macaw palm",Arecaceae,Tree,15.0,,10,12,canopy,mid_successional,fibrous_shallow,drought_tolerant,no,canopy,no,no,no,no,no,no,no,3,1,2,LMH,N,DM,"S. America - Brazil, Colombia, Venezuela, the Guyanas; C. America - Panama to Mexico; Caribbean.","Africa, Amazon, Antigua and Barbuda, Argentina, Australia, Belize, Bolivia, Brazil, Caribbean, Central America, Colombia, Costa Rica, Cuba, Dominica, East Africa, El Salvador, French Guiana, Grenada, ",None known,,OBSERVED:PFAF,pfaf.org database
Actaea pachypoda,White Baneberry,Ranunculaceae,Perennial,0.8,,3,7,groundcover,mid_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,0,2,0,LMH,S,M,"Eastern N. America - S. Canada to Georgia, west to Oklahoma and Minnesota.",,"All parts of the plant are toxic, causing severe gastrointestinal inflammation and skin blisters[222].",,OBSERVED:PFAF,pfaf.org database
Actaea rubra,Red Baneberry,Ranunculaceae,Perennial,0.5,,3,7,groundcover,mid_successional,fibrous_shallow,wetland,no,support,no,no,no,no,no,no,no,0,2,0,LMH,FS,M,N. America - Alaska to California and eastwards to Newfoundland and Philadelphia.,,"All parts of the plant are toxic[172], apparently acting upon the heart[212].",,OBSERVED:PFAF,pfaf.org database
Actinea acaulis arizonica,,Asteraceae or Compositae,,,,,,groundcover,mid_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,0,0,0,LMH,SN,M,South-western N. America.,,None known,,OBSERVED:PFAF,pfaf.org database
Actinidia arguta,Tara Vine,Actinidiaceae,Climber,15.0,,4,8,vine,mid_successional,fibrous_shallow,mesic,no,climber,no,no,no,no,no,no,no,5,0,2,LMH,SN,M,"E. Asia - China, Japan","Asia, Australia, Britain, Canada, China, Japan, Korea, Lithuania, Manchuria, New Zealand, North America, North Korea, Poland, Russia, Siberia, Taiwan, Tibet, USA [1-4].",None known,,OBSERVED:PFAF,pfaf.org database
Actinidia deliciosa,Kiwi Fruit,Actinidiaceae,Climber,9.0,,6,9,vine,mid_successional,fibrous_shallow,mesic,no,climber,no,no,no,no,no,no,no,5,1,1,LMH,SN,M,E. Asia - China,"Australia, Brazil, Britain, Canada, China, Europe, New Zealand, North America, Pacific, Slovenia, South America, Switzerland, Tasmania, Uruguay [1-4].",None known,,OBSERVED:PFAF,pfaf.org database
Actinidia kolomikta,Kiwi,Actinidiaceae,Climber,10.0,,3,8,vine,early_successional,fibrous_shallow,mesic,no,windbreak,no,no,no,no,no,no,no,4,0,0,LMH,SN,M,"E. Asia - China, Japan, E. Siberia.","Asia, Australia, Canada, China, Korea, Japan, Lithuania, North America, Russia, Slovenia, Tasmania [1-4].",None known,"Bloom Color: Pink, White.
Main Bloom Time: Early summer. Form: Irregular or sprawling, Upright or erect.",OBSERVED:PFAF,pfaf.org database
Adenanthera pavonina,"Red Sandalwood, Coral Tree",Fabaceae,Tree,18.0,,10,12,canopy,mid_successional,fibrous_shallow,drought_tolerant,yes,nitrogen_fixer,no,no,no,no,no,no,no,3,2,4,LMH,N,M,"E. Asia - China, India, Sri Lanka, Bangladesh, Myanmar, Thailand, Cambodia, Laos, Vietnam, Malaysia, Indonesia, Philippines, Australia, Solomon Isles.","Found In: Africa, Antigua-Barbuda, Arabia, Australia, Asia, Bahamas, Barbados, Brazil, Burma, Cambodia, Cameroon, Central Africa, Chad, China, Congo, Cook Islands, Dominica, Dominican Republic, East A",The raw seeds are poisonous[303 ].,"Adenanthera pavonina, the Red Sandalwood or Coral Tree is cultivated for forage, as an ornamental garden plant or urban tree. It is a non-climbing species of leguminous tree useful for nitrogen fixation. It has many uses including food and drink, traditional medicine, timber, an ornamental garden pl",OBSERVED:PFAF,pfaf.org database
Adenostoma fasciculatum,Greasewood,Rosaceae,Shrub,3.0,,7,10,shrub,mid_successional,fibrous_shallow,drought_tolerant,no,support,no,no,no,no,no,no,no,0,1,0,LMH,N,DM,South-western N. America - California to Mexico.,,None known,,OBSERVED:PFAF,pfaf.org database
Adenostoma sparsifolium,Redshank,Rosaceae,Shrub,6.0,,7,10,shrub,mid_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,1,1,0,LMH,N,DM,South-western N. America - Southern California.,,None known,,OBSERVED:PFAF,pfaf.org database
Adiantum pedatum,"Northern Maidenhair,American Maidenhair  Fern",Polypodiaceae,Fern,0.5,,4,9,groundcover,mid_successional,fibrous_shallow,wetland,no,groundcover,no,no,no,no,no,no,no,0,2,2,LMH,S,M,"N. America - Alaska to Quebec and Nova Scotia, south to California and Georgia. E. Asia",,"Although we have found no reports of toxicity for this species, a number of ferns contain carcinogens so some caution is advisable[200]. Many ferns also contain thiaminase, an enzyme that robs the body of its vitamin B complex. In small quantities this enzyme will do no harm to people eating an adeq",Form: Irregular or sprawling.,OBSERVED:PFAF,pfaf.org database
Aechmea magdalenae,"Pingwing. Ixtle, Pita plant",Bromeliaceae,Perennial,2.5,1.8,10,12,groundcover,mid_successional,fibrous_shallow,drought_tolerant,no,support,no,no,no,no,no,no,no,3,0,3,LMH,FS,M,"Northwestern S. America - Ecuador, Colombia, Venezuela; C. America - Panama to Mexico.","Amazon, Australia, Belize, Brazil, Central America, Colombia, Costa Rica, Ecuador, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, North America, Panama, South America, Venezuela.",None known,,OBSERVED:PFAF,pfaf.org database
Aesculus californica,"Californian Buckeye, California Horsechestnut",Hippocastanaceae,Tree,12.0,,6,10,canopy,early_successional,fibrous_shallow,drought_tolerant,no,canopy,no,no,no,no,no,no,no,3,1,0,LMH,N,DM,South-western N. America - California.,,"The seed is rich in saponins. Although poisonous, saponins are poorly absorbed by the human body and so most pass through without harm. Saponins are quite bitter and can be found in many common foods such as some beans. They can be removed by carefully leaching the seed or flour in running water. Th","Bloom Color: Pink, White.
Main Bloom Time: Early spring, Late spring, Mid spring. Form: Rounded.",OBSERVED:PFAF,pfaf.org database
Aesculus flava,"Sweet Buckeye, Yellow buckeye",Hippocastanaceae,Tree,20.0,,4,8,canopy,mid_successional,fibrous_shallow,mesic,no,canopy,no,no,no,no,no,no,no,4,0,0,LMH,SN,M,Eastern N. America - Pennsylvanica to Tennessee and west to Ohio.,,"The seed is rich in saponins. Although poisonous, saponins are poorly absorbed by the human body and so most pass through without harm. Saponins are quite bitter and can be found in many common foods such as some beans. They can be removed by carefully leaching the seed or flour in running water. Th","Bloom Color: Yellow.
Main Bloom Time: Early spring, Late spring, Mid spring. Form: Oval.",OBSERVED:PFAF,pfaf.org database
Aesculus glabra,"Ohio Buckeye, Fetid Buckeye",Hippocastanaceae,Tree,20.0,,4,7,canopy,mid_successional,fibrous_shallow,mesic,no,canopy,no,no,no,no,no,no,no,2,1,0,LMH,SN,M,"South-eastern and Central N. America - Pennsylvania to Nebraska, south to Tennessee and Oklahoma.",,"The seed is rich in saponins. Although poisonous, saponins are poorly absorbed by the human body and so most pass through without harm. Saponins are quite bitter and can be found in many common foods such as some beans. They can be removed by carefully leaching the seed or flour in running water. Th","Bloom Color: Yellow.
Main Bloom Time: Early spring, Late spring, Mid spring. Form: Rounded.",OBSERVED:PFAF,pfaf.org database
Aesculus parviflora,Bottlebrush buckeye,Hippocastanaceae,Shrub,4.0,,4,9,shrub,mid_successional,fibrous_shallow,wetland,no,groundcover,no,no,no,no,no,no,no,2,1,0,LMH,FSN,M,Southern N. America - Georgia and Alabama to Florida.,,"The seed is rich in saponins[169]. Although poisonous, saponins are poorly absorbed by the human body and so most pass through without harm. Saponins are quite bitter and can be found in many common foods such as some beans. They can be removed by carefully leaching the seed or flour in running wate","Bloom Color: White.
Main Bloom Time: Early summer, Mid summer. Form: Rounded.",OBSERVED:PFAF,pfaf.org database
Aesculus pavia,Red Buckeye,Hippocastanaceae,Shrub,5.0,,5,9,shrub,mid_successional,fibrous_shallow,wetland,no,support,no,no,no,no,no,no,no,2,1,0,LMH,FSN,M,"South-eastern N. America - Virginia to Florida, west to Louisiana.",,"The seed is rich in saponins[169]. Although poisonous, saponins are poorly absorbed by the human body and so most pass through without harm. Saponins are quite bitter and can be found in many common foods such as some beans. They can be removed by carefully leaching the seed or flour in running wate","Bloom Color: Red.
Main Bloom Time: Early spring, Late spring, Mid spring. Form: Pyramidal, Rounded.",OBSERVED:PFAF,pfaf.org database
