hexagram_id,nakshatra_id,resonance_score,resonance_reason,shared_element,shared_quality,shared_graha,notes,attestation_status
hexagram_04,nakshatra_anuradha,0.35,shared element water,water,,,youthful folly resonates with Anuradha,inferred_coherent
hexagram_04,nakshatra_jyeshtha,0.4,shared guna tamas + rakshasa-tamas alignment,,tamas,,youthful folly resonates with Jyeshtha,inferred_coherent
hexagram_04,nakshatra_mula,0.55,shared guna tamas + dosha-body alignment vata/ear + rakshasa-tamas alignment,,tamas,,youthful folly resonates with Mula,inferred_coherent
hexagram_04,nakshatra_purva_ashadha,0.35,shared element water,water,,,youthful folly resonates with Purva_Ashadha,inferred_coherent
hexagram_04,nakshatra_uttara_ashadha,0.35,shared element earth,earth,,,youthful folly resonates with Uttara_Ashadha,inferred_coherent
hexagram_04,nakshatra_shatabhisha,0.55,shared guna tamas + dosha-body alignment vata/ear + rakshasa-tamas alignment,,tamas,,youthful folly resonates with Shatabhisha,inferred_coherent
hexagram_04,nakshatra_purva_bhadrapada,0.3,shared guna tamas,,tamas,,youthful folly resonates with Purva_Bhadrapada,inferred_coherent
hexagram_04,nakshatra_uttara_bhadrapada,0.35,shared element water,water,,,youthful folly resonates with Uttara_Bhadrapada,inferred_coherent
hexagram_04,nakshatra_revati,0.35,shared element water,water,,,youthful folly resonates with Revati,inferred_coherent
hexagram_05,nakshatra_ardra,0.35,shared element water,water,,,waiting resonates with Ardra,inferred_coherent
hexagram_05,nakshatra_punarvasu,0.4,shared guna sattva + deva-sattva alignment,,sattva,,waiting resonates with Punarvasu,inferred_coherent
hexagram_05,nakshatra_pushya,0.75,shared element water + shared guna sattva + deva-sattva alignment,water,sattva,,waiting resonates with Pushya,inferred_coherent
hexagram_05,nakshatra_ashlesha,0.35,shared element water,water,,,waiting resonates with Ashlesha,inferred_coherent
hexagram_05,nakshatra_uttara_phalguni,0.3,shared guna sattva,,sattva,,waiting resonates with Uttara_Phalguni,inferred_coherent
hexagram_05,nakshatra_hasta,0.4,shared guna sattva + deva-sattva alignment,,sattva,,waiting resonates with Hasta,inferred_coherent
hexagram_05,nakshatra_anuradha,0.75,shared element water + shared guna sattva + deva-sattva alignment,water,sattva,,waiting resonates with Anuradha,inferred_coherent
hexagram_05,nakshatra_purva_ashadha,0.5,shared element water + dosha-body alignment pitta/head,water,,,waiting resonates with Purva_Ashadha,inferred_coherent
hexagram_05,nakshatra_uttara_ashadha,0.3,shared guna sattva,,sattva,,waiting resonates with Uttara_Ashadha,inferred_coherent
hexagram_05,nakshatra_shravana,0.4,shared guna sattva + deva-sattva alignment,,sattva,,waiting resonates with Shravana,inferred_coherent
hexagram_05,nakshatra_uttara_bhadrapada,0.65,shared element water + shared guna sattva,water,sattva,,waiting resonates with Uttara_Bhadrapada,inferred_coherent
hexagram_05,nakshatra_revati,0.75,shared element water + shared guna sattva + deva-sattva alignment,water,sattva,,waiting resonates with Revati,inferred_coherent
hexagram_06,nakshatra_ashwini,0.45,shared guna rajas + dosha-body alignment vata/ear,,rajas,,conflict resonates with Ashwini,inferred_coherent
hexagram_06,nakshatra_bharani,0.4,shared guna rajas + manushya-rajas alignment,,rajas,,conflict resonates with Bharani,inferred_coherent
hexagram_06,nakshatra_krittika,0.3,shared guna rajas,,rajas,,conflict resonates with Krittika,inferred_coherent
hexagram_06,nakshatra_rohini,0.4,shared guna rajas + manushya-rajas alignment,,rajas,,conflict resonates with Rohini,inferred_coherent
hexagram_06,nakshatra_ardra,0.6,shared element water + dosha-body alignment vata/ear + manushya-rajas alignment,water,,,conflict resonates with Ardra,inferred_coherent
hexagram_06,nakshatra_pushya,0.35,shared element water,water,,,conflict resonates with Pushya,inferred_coherent
hexagram_06,nakshatra_ashlesha,0.35,shared element water,water,,,conflict resonates with Ashlesha,inferred_coherent
hexagram_06,nakshatra_purva_phalguni,0.4,shared guna rajas + manushya-rajas alignment,,rajas,,conflict resonates with Purva_Phalguni,inferred_coherent
hexagram_06,nakshatra_swati,0.45,shared guna rajas + dosha-body alignment vata/ear,,rajas,,conflict resonates with Swati,inferred_coherent
hexagram_06,nakshatra_vishakha,0.3,shared guna rajas,,rajas,,conflict resonates with Vishakha,inferred_coherent
hexagram_06,nakshatra_anuradha,0.35,shared element water,water,,,conflict resonates with Anuradha,inferred_coherent
hexagram_06,nakshatra_purva_ashadha,0.75,shared element water + shared guna rajas + manushya-rajas alignment,water,rajas,,conflict resonates with Purva_Ashadha,inferred_coherent
hexagram_06,nakshatra_dhanishta,0.3,shared guna rajas,,rajas,,conflict resonates with Dhanishta,inferred_coherent
hexagram_06,nakshatra_uttara_bhadrapada,0.45,shared element water + manushya-rajas alignment,water,,,conflict resonates with Uttara_Bhadrapada,inferred_coherent
hexagram_06,nakshatra_revati,0.35,shared element water,water,,,conflict resonates with Revati,inferred_coherent
hexagram_07,nakshatra_ashwini,0.3,shared guna rajas,,rajas,,the army resonates with Ashwini,inferred_coherent
hexagram_07,nakshatra_bharani,0.75,shared element earth + shared guna rajas + manushya-rajas alignment,earth,rajas,,the army resonates with Bharani,inferred_coherent
hexagram_07,nakshatra_krittika,0.3,shared guna rajas,,rajas,,the army resonates with Krittika,inferred_coherent
hexagram_07,nakshatra_rohini,0.9,shared element earth + shared guna rajas + dosha-body alignment kapha/belly + manushya-rajas alignment,earth,rajas,,the army resonates with Rohini,inferred_coherent
hexagram_07,nakshatra_mrigashira,0.35,shared element earth,earth,,,the army resonates with Mrigashira,inferred_coherent
hexagram_07,nakshatra_ardra,0.45,shared element water + manushya-rajas alignment,water,,,the army resonates with Ardra,inferred_coherent
hexagram_07,nakshatra_pushya,0.5,shared element water + dosha-body alignment kapha/belly,water,,,the army resonates with Pushya,inferred_coherent
hexagram_07,nakshatra_ashlesha,0.5,shared element water + dosha-body alignment kapha/belly,water,,,the army resonates with Ashlesha,inferred_coherent
hexagram_07,nakshatra_purva_phalguni,0.75,shared element earth + shared guna rajas + manushya-rajas alignment,earth,rajas,,the army resonates with Purva_Phalguni,inferred_coherent
hexagram_07,nakshatra_uttara_phalguni,0.6,shared element earth + dosha-body alignment kapha/belly + manushya-rajas alignment,earth,,,the army resonates with Uttara_Phalguni,inferred_coherent
hexagram_07,nakshatra_swati,0.3,shared guna rajas,,rajas,,the army resonates with Swati,inferred_coherent
hexagram_07,nakshatra_vishakha,0.3,shared guna rajas,,rajas,,the army resonates with Vishakha,inferred_coherent
hexagram_07,nakshatra_anuradha,0.5,shared element water + dosha-body alignment kapha/belly,water,,,the army resonates with Anuradha,inferred_coherent
hexagram_07,nakshatra_purva_ashadha,0.75,shared element water + shared guna rajas + manushya-rajas alignment,water,rajas,,the army resonates with Purva_Ashadha,inferred_coherent
hexagram_07,nakshatra_uttara_ashadha,0.6,shared element earth + dosha-body alignment kapha/belly + manushya-rajas alignment,earth,,,the army resonates with Uttara_Ashadha,inferred_coherent
hexagram_07,nakshatra_dhanishta,0.3,shared guna rajas,,rajas,,the army resonates with Dhanishta,inferred_coherent
hexagram_07,nakshatra_uttara_bhadrapada,0.6,shared element water + dosha-body alignment kapha/belly + manushya-rajas alignment,water,,,the army resonates with Uttara_Bhadrapada,inferred_coherent
hexagram_07,nakshatra_revati,0.5,shared element water + dosha-body alignment kapha/belly,water,,,the army resonates with Revati,inferred_coherent
hexagram_08,nakshatra_bharani,0.35,shared element earth,earth,,,holding together resonates with Bharani,inferred_coherent
hexagram_08,nakshatra_rohini,0.35,shared element earth,earth,,,holding together resonates with Rohini,inferred_coherent
hexagram_08,nakshatra_mrigashira,0.6,shared element earth + dosha-body alignment vata/ear + deva-sattva alignment,earth,,,holding together resonates with Mrigashira,inferred_coherent
hexagram_08,nakshatra_ardra,0.5,shared element water + dosha-body alignment vata/ear,water,,,holding together resonates with Ardra,inferred_coherent
hexagram_08,nakshatra_punarvasu,0.55,shared guna sattva + dosha-body alignment vata/ear + deva-sattva alignment,,sattva,,holding together resonates with Punarvasu,inferred_coherent
hexagram_08,nakshatra_pushya,0.75,shared element water + shared guna sattva + deva-sattva alignment,water,sattva,,holding together resonates with Pushya,inferred_coherent
hexagram_08,nakshatra_ashlesha,0.35,shared element water,water,,,holding together resonates with Ashlesha,inferred_coherent
hexagram_08,nakshatra_purva_phalguni,0.35,shared element earth,earth,,,holding together resonates with Purva_Phalguni,inferred_coherent
hexagram_08,nakshatra_uttara_phalguni,0.65,shared element earth + shared guna sattva,earth,sattva,,holding together resonates with Uttara_Phalguni,inferred_coherent
hexagram_08,nakshatra_hasta,0.55,shared guna sattva + dosha-body alignment vata/ear + deva-sattva alignment,,sattva,,holding together resonates with Hasta,inferred_coherent
hexagram_08,nakshatra_anuradha,0.75,shared element water + shared guna sattva + deva-sattva alignment,water,sattva,,holding together resonates with Anuradha,inferred_coherent
hexagram_08,nakshatra_purva_ashadha,0.35,shared element water,water,,,holding together resonates with Purva_Ashadha,inferred_coherent
hexagram_08,nakshatra_uttara_ashadha,0.65,shared element earth + shared guna sattva,earth,sattva,,holding together resonates with Uttara_Ashadha,inferred_coherent
hexagram_08,nakshatra_shravana,0.55,shared guna sattva + dosha-body alignment vata/ear + deva-sattva alignment,,sattva,,holding together resonates with Shravana,inferred_coherent
hexagram_08,nakshatra_uttara_bhadrapada,0.65,shared element water + shared guna sattva,water,sattva,,holding together resonates with Uttara_Bhadrapada,inferred_coherent
hexagram_08,nakshatra_revati,0.75,shared element water + shared guna sattva + deva-sattva alignment,water,sattva,,holding together resonates with Revati,inferred_coherent
hexagram_09,nakshatra_punarvasu,0.75,shared element air + shared guna sattva + deva-sattva alignment,air,sattva,,taming power of the small resonates with Punarvasu,inferred_coherent
hexagram_09,nakshatra_pushya,0.4,shared guna sattva + deva-sattva alignment,,sattva,,taming power of the small resonates with Pushya,inferred_coherent
hexagram_09,nakshatra_uttara_phalguni,0.3,shared guna sattva,,sattva,,taming power of the small resonates with Uttara_Phalguni,inferred_coherent
hexagram_09,nakshatra_hasta,0.75,shared element air + shared guna sattva + deva-sattva alignment,air,sattva,,taming power of the small resonates with Hasta,inferred_coherent
hexagram_09,nakshatra_swati,0.45,shared element air + deva-sattva alignment,air,,,taming power of the small resonates with Swati,inferred_coherent
hexagram_09,nakshatra_anuradha,0.4,shared guna sattva + deva-sattva alignment,,sattva,,taming power of the small resonates with Anuradha,inferred_coherent
hexagram_09,nakshatra_jyeshtha,0.5,shared element air + dosha-body alignment pitta/head,air,,,taming power of the small resonates with Jyeshtha,inferred_coherent
hexagram_09,nakshatra_mula,0.35,shared element air,air,,,taming power of the small resonates with Mula,inferred_coherent
hexagram_09,nakshatra_uttara_ashadha,0.3,shared guna sattva,,sattva,,taming power of the small resonates with Uttara_Ashadha,inferred_coherent
hexagram_09,nakshatra_shravana,0.75,shared element air + shared guna sattva + deva-sattva alignment,air,sattva,,taming power of the small resonates with Shravana,inferred_coherent
hexagram_09,nakshatra_shatabhisha,0.35,shared element air,air,,,taming power of the small resonates with Shatabhisha,inferred_coherent
hexagram_09,nakshatra_uttara_bhadrapada,0.3,shared guna sattva,,sattva,,taming power of the small resonates with Uttara_Bhadrapada,inferred_coherent
hexagram_09,nakshatra_revati,0.4,shared guna sattva + deva-sattva alignment,,sattva,,taming power of the small resonates with Revati,inferred_coherent
hexagram_10,nakshatra_ashwini,0.3,shared guna rajas,,rajas,,treading resonates with Ashwini,inferred_coherent
hexagram_10,nakshatra_bharani,0.4,shared guna rajas + manushya-rajas alignment,,rajas,,treading resonates with Bharani,inferred_coherent
hexagram_10,nakshatra_krittika,0.3,shared guna rajas,,rajas,,treading resonates with Krittika,inferred_coherent
hexagram_10,nakshatra_rohini,0.55,shared guna rajas + dosha-body alignment kapha/mouth + manushya-rajas alignment,,rajas,,treading resonates with Rohini,inferred_coherent
hexagram_10,nakshatra_ardra,0.45,shared element water + manushya-rajas alignment,water,,,treading resonates with Ardra,inferred_coherent
hexagram_10,nakshatra_pushya,0.5,shared element water + dosha-body alignment kapha/mouth,water,,,treading resonates with Pushya,inferred_coherent
hexagram_10,nakshatra_ashlesha,0.5,shared element water + dosha-body alignment kapha/mouth,water,,,treading resonates with Ashlesha,inferred_coherent
hexagram_10,nakshatra_purva_phalguni,0.4,shared guna rajas + manushya-rajas alignment,,rajas,,treading resonates with Purva_Phalguni,inferred_coherent
hexagram_10,nakshatra_swati,0.3,shared guna rajas,,rajas,,treading resonates with Swati,inferred_coherent
hexagram_10,nakshatra_vishakha,0.3,shared guna rajas,,rajas,,treading resonates with Vishakha,inferred_coherent
hexagram_10,nakshatra_anuradha,0.5,shared element water + dosha-body alignment kapha/mouth,water,,,treading resonates with Anuradha,inferred_coherent
hexagram_10,nakshatra_purva_ashadha,0.75,shared element water + shared guna rajas + manushya-rajas alignment,water,rajas,,treading resonates with Purva_Ashadha,inferred_coherent
hexagram_10,nakshatra_dhanishta,0.3,shared guna rajas,,rajas,,treading resonates with Dhanishta,inferred_coherent
hexagram_10,nakshatra_uttara_bhadrapada,0.6,shared element water + dosha-body alignment kapha/mouth + manushya-rajas alignment,water,,,treading resonates with Uttara_Bhadrapada,inferred_coherent
hexagram_10,nakshatra_revati,0.5,shared element water + dosha-body alignment kapha/mouth,water,,,treading resonates with Revati,inferred_coherent
hexagram_11,nakshatra_bharani,0.5,shared element earth + dosha-body alignment pitta/head,earth,,,peace resonates with Bharani,inferred_coherent
hexagram_11,nakshatra_rohini,0.35,shared element earth,earth,,,peace resonates with Rohini,inferred_coherent
hexagram_11,nakshatra_mrigashira,0.45,shared element earth + deva-sattva alignment,earth,,,peace resonates with Mrigashira,inferred_coherent
hexagram_11,nakshatra_punarvasu,0.4,shared guna sattva + deva-sattva alignment,,sattva,,peace resonates with Punarvasu,inferred_coherent
hexagram_11,nakshatra_pushya,0.4,shared guna sattva + deva-sattva alignment,,sattva,,peace resonates with Pushya,inferred_coherent
hexagram_11,nakshatra_purva_phalguni,0.5,shared element earth + dosha-body alignment pitta/head,earth,,,peace resonates with Purva_Phalguni,inferred_coherent
hexagram_11,nakshatra_uttara_phalguni,0.65,shared element earth + shared guna sattva,earth,sattva,,peace resonates with Uttara_Phalguni,inferred_coherent
hexagram_11,nakshatra_hasta,0.4,shared guna sattva + deva-sattva alignment,,sattva,,peace resonates with Hasta,inferred_coherent
hexagram_11,nakshatra_anuradha,0.4,shared guna sattva + deva-sattva alignment,,sattva,,peace resonates with Anuradha,inferred_coherent
hexagram_11,nakshatra_uttara_ashadha,0.65,shared element earth + shared guna sattva,earth,sattva,,peace resonates with Uttara_Ashadha,inferred_coherent
hexagram_11,nakshatra_shravana,0.4,shared guna sattva + deva-sattva alignment,,sattva,,peace resonates with Shravana,inferred_coherent
hexagram_11,nakshatra_uttara_bhadrapada,0.3,shared guna sattva,,sattva,,peace resonates with Uttara_Bhadrapada,inferred_coherent
hexagram_11,nakshatra_revati,0.4,shared guna sattva + deva-sattva alignment,,sattva,,peace resonates with Revati,inferred_coherent
hexagram_12,nakshatra_bharani,0.35,shared element earth,earth,,,standstill resonates with Bharani,inferred_coherent
hexagram_12,nakshatra_rohini,0.5,shared element earth + dosha-body alignment kapha/belly,earth,,,standstill resonates with Rohini,inferred_coherent
hexagram_12,nakshatra_mrigashira,0.65,shared element earth + shared guna tamas,earth,tamas,,standstill resonates with Mrigashira,inferred_coherent
hexagram_12,nakshatra_ardra,0.3,shared guna tamas,,tamas,,standstill resonates with Ardra,inferred_coherent
hexagram_12,nakshatra_ashlesha,0.55,shared guna tamas + dosha-body alignment kapha/belly + rakshasa-tamas alignment,,tamas,,standstill resonates with Ashlesha,inferred_coherent
hexagram_12,nakshatra_magha,0.4,shared guna tamas + rakshasa-tamas alignment,,tamas,,standstill resonates with Magha,inferred_coherent
hexagram_12,nakshatra_purva_phalguni,0.35,shared element earth,earth,,,standstill resonates with Purva_Phalguni,inferred_coherent
hexagram_12,nakshatra_uttara_phalguni,0.5,shared element earth + dosha-body alignment kapha/belly,earth,,,standstill resonates with Uttara_Phalguni,inferred_coherent
hexagram_12,nakshatra_chitra,0.4,shared guna tamas + rakshasa-tamas alignment,,tamas,,standstill resonates with Chitra,inferred_coherent
hexagram_12,nakshatra_jyeshtha,0.4,shared guna tamas + rakshasa-tamas alignment,,tamas,,standstill resonates with Jyeshtha,inferred_coherent
hexagram_12,nakshatra_mula,0.4,shared guna tamas + rakshasa-tamas alignment,,tamas,,standstill resonates with Mula,inferred_coherent
hexagram_12,nakshatra_uttara_ashadha,0.5,shared element earth + dosha-body alignment kapha/belly,earth,,,standstill resonates with Uttara_Ashadha,inferred_coherent
hexagram_12,nakshatra_shatabhisha,0.4,shared guna tamas + rakshasa-tamas alignment,,tamas,,standstill resonates with Shatabhisha,inferred_coherent
hexagram_12,nakshatra_purva_bhadrapada,0.3,shared guna tamas,,tamas,,standstill resonates with Purva_Bhadrapada,inferred_coherent
hexagram_13,nakshatra_ashwini,0.45,shared element fire + deva-sattva alignment,fire,,,fellowship resonates with Ashwini,inferred_coherent
hexagram_13,nakshatra_krittika,0.5,shared element fire + dosha-body alignment pitta/eye,fire,,,fellowship resonates with Krittika,inferred_coherent
hexagram_13,nakshatra_punarvasu,0.4,shared guna sattva + deva-sattva alignment,,sattva,,fellowship resonates with Punarvasu,inferred_coherent
hexagram_13,nakshatra_pushya,0.4,shared guna sattva + deva-sattva alignment,,sattva,,fellowship resonates with Pushya,inferred_coherent
hexagram_13,nakshatra_magha,0.5,shared element fire + dosha-body alignment pitta/eye,fire,,,fellowship resonates with Magha,inferred_coherent
hexagram_13,nakshatra_uttara_phalguni,0.3,shared guna sattva,,sattva,,fellowship resonates with Uttara_Phalguni,inferred_coherent
hexagram_13,nakshatra_hasta,0.4,shared guna sattva + deva-sattva alignment,,sattva,,fellowship resonates with Hasta,inferred_coherent
hexagram_13,nakshatra_chitra,0.5,shared element fire + dosha-body alignment pitta/eye,fire,,,fellowship resonates with Chitra,inferred_coherent
hexagram_13,nakshatra_vishakha,0.5,shared element fire + dosha-body alignment pitta/eye,fire,,,fellowship resonates with Vishakha,inferred_coherent
hexagram_13,nakshatra_anuradha,0.4,shared guna sattva + deva-sattva alignment,,sattva,,fellowship resonates with Anuradha,inferred_coherent
hexagram_13,nakshatra_uttara_ashadha,0.3,shared guna sattva,,sattva,,fellowship resonates with Uttara_Ashadha,inferred_coherent
hexagram_13,nakshatra_shravana,0.4,shared guna sattva + deva-sattva alignment,,sattva,,fellowship resonates with Shravana,inferred_coherent
hexagram_13,nakshatra_dhanishta,0.5,shared element fire + dosha-body alignment pitta/eye,fire,,,fellowship resonates with Dhanishta,inferred_coherent
hexagram_13,nakshatra_purva_bhadrapada,0.5,shared element fire + dosha-body alignment pitta/eye,fire,,,fellowship resonates with Purva_Bhadrapada,inferred_coherent
hexagram_13,nakshatra_uttara_bhadrapada,0.3,shared guna sattva,,sattva,,fellowship resonates with Uttara_Bhadrapada,inferred_coherent
hexagram_13,nakshatra_revati,0.4,shared guna sattva + deva-sattva alignment,,sattva,,fellowship resonates with Revati,inferred_coherent
hexagram_14,nakshatra_ashwini,0.45,shared element fire + deva-sattva alignment,fire,,,great possession resonates with Ashwini,inferred_coherent
hexagram_14,nakshatra_krittika,0.5,shared element fire + dosha-body alignment pitta/head,fire,,,great possession resonates with Krittika,inferred_coherent
hexagram_14,nakshatra_punarvasu,0.4,shared guna sattva + deva-sattva alignment,,sattva,,great possession resonates with Punarvasu,inferred_coherent
hexagram_14,nakshatra_pushya,0.4,shared guna sattva + deva-sattva alignment,,sattva,,great possession resonates with Pushya,inferred_coherent
hexagram_14,nakshatra_magha,0.5,shared element fire + dosha-body alignment pitta/head,fire,,,great possession resonates with Magha,inferred_coherent
hexagram_14,nakshatra_uttara_phalguni,0.3,shared guna sattva,,sattva,,great possession resonates with Uttara_Phalguni,inferred_coherent
hexagram_14,nakshatra_hasta,0.4,shared guna sattva + deva-sattva alignment,,sattva,,great possession resonates with Hasta,inferred_coherent
hexagram_14,nakshatra_chitra,0.5,shared element fire + dosha-body alignment pitta/head,fire,,,great possession resonates with Chitra,inferred_coherent
hexagram_14,nakshatra_vishakha,0.5,shared element fire + dosha-body alignment pitta/head,fire,,,great possession resonates with Vishakha,inferred_coherent
hexagram_14,nakshatra_anuradha,0.4,shared guna sattva + deva-sattva alignment,,sattva,,great possession resonates with Anuradha,inferred_coherent
hexagram_14,nakshatra_uttara_ashadha,0.3,shared guna sattva,,sattva,,great possession resonates with Uttara_Ashadha,inferred_coherent
hexagram_14,nakshatra_shravana,0.4,shared guna sattva + deva-sattva alignment,,sattva,,great possession resonates with Shravana,inferred_coherent
hexagram_14,nakshatra_dhanishta,0.5,shared element fire + dosha-body alignment pitta/head,fire,,,great possession resonates with Dhanishta,inferred_coherent
